feature,f1_drop_when_shuffled
scaled_url_count,0.0
scaled_url_total_length,0.0
scaled_url_max_length,0.0
scaled_url_digit_count,0.0
scaled_url_dot_count,0.0
scaled_url_hyphen_count,0.0
scaled_url_slash_count,0.0
scaled_url_has_https,0.0
scaled_url_has_ip,0.0
scaled_url_has_at,0.0
scaled_url_is_shortened,0.0
scaled_phone_count,0.0
scaled_has_phone,0.0
scaled_digit_count,0.0
scaled_number_count,0.0
scaled_has_digits,0.0
scaled_char_count,0.0
scaled_word_count,0.0
scaled_exclamation_count,0.0
scaled_question_count,0.0
scaled_comma_count,0.0
scaled_dot_count,0.0
scaled_colon_count,0.0
scaled_special_char_count,0.0
scaled_currency_count,0.0
scaled_has_currency,0.0
scaled_security_keyword_count,0.0
scaled_has_security_keyword,0.0
scaled_bangla_char_count,0.0
scaled_english_char_count,0.0
scaled_bangla_ratio,0.0
scaled_english_ratio,0.0
scaled_has_bangla,0.0
scaled_has_english,0.0
